Coordinate
78.694279N 007.095665E
77.609874N 008.884031E
75.352309N 009.988448E
73.658858N 009.889623E
77.788937N 004.934362E
76.189329N 004.821883E
76.189256N 000.252651W
74.282735N 006.148744E
72.387394N 001.634854E
73.658123N 001.120210W
74.355449N 005.390322W
71.269488N 007.735786W
72.329927N 006.609885E
70.730729N 004.408980E
69.749972N 000.384495W
67.722276N 000.000372E
67.265925N 000.498669W
69.168042N 004.663428W
74.481905N 010.403118E
72.903790N 007.996201E
73.348589N 003.772090E
75.225368N 002.812315E
72.797403N 006.672182W
70.394388N 006.557065W
77.011157N 004.901441E
76.421299N 009.626249E
70.278768N 001.914306E
71.673644N 005.588912E
68.229321N 002.508989W
68.864313N 000.102735W
73.583549N 006.054046W
74.027006N 002.852181W
73.052848N 000.553025E
71.922299N 007.301431W
69.579070N 005.559648W
68.716607N 003.491498W
67.725218N 001.675036W
75.686440N 001.412999E
74.758544N 004.537548E
